Holding,Security Description,Market Value,% of Fund,Security No.
"605,000.000",ALPHA GROUP INTERNATIONAL PLC COMMON STOCK GBP,"13,007,500.00",4.90%,BF1TM59
"335,000.000",BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,"9,916,000.00",3.73%,BF4HYT8
"1,965,000.000",OSB GROUP PLC COMMON STOCK GBP 1,"9,758,190.00",3.67%,BLDRH36
"92,000.000",JUDGES SCIENTIFIC PLC COMMON STOCK GBP 5,"9,108,000.00",3.43%,3239867
"6,565,000.000",PREMIER FOODS PLC COMMON STOCK GBP 10,"8,232,510.00",3.10%,B7N0K05
"660,000.000",CERILLION PLC COMMON STOCK GBP 0.5,"7,986,000.00",3.01%,BYYX6C6
"160,000.000",4IMPRINT GROUP PLC COMMON STOCK GBP 38.45999,"7,216,000.00",2.72%,0664097
"585,000.000",JET2 PLC COMMON STOCK GBP 1.25,"7,166,250.00",2.70%,B1722W1
"2,085,444.000",ASHTEAD TECHNOLOGY HOLDINGS PLC COMMON STOCK GBP 5,"7,069,655.16",2.66%,BLH4250
"835,000.000",WATCHES OF SWITZERLAND GROUP PLC COMMON STOCK GBP 0.0125,"6,943,025.00",2.61%,BJDQQ87
"2,710,000.000",SERICA ENERGY PLC COMMON STOCK GBP 0.1,"6,433,540.00",2.42%,B0CY5V5
"218,000.000",OXFORD INSTRUMENTS PLC COMMON STOCK GBP 5,"6,016,800.00",2.27%,0665045
"485,000.000",DUNELM GROUP PLC COMMON STOCK GBP 1,"5,558,100.00",2.09%,B1CKQ73
"3,175,000.000",SDI GROUP PLC COMMON STOCK GBP 1,"5,461,000.00",2.06%,B3FBWW4
"1,050,000.000",REDROW PLC COMMON STOCK GBP 10,"5,433,750.00",2.05%,BG11K36
"643,014.000",NEXT 15 GROUP PLC COMMON STOCK GBP 2.5,"5,407,747.74",2.04%,3002605
"1,255,000.000",BYTES TECHNOLOGY GROUP PLC COMMON STOCK GBP,"5,215,780.00",1.96%,BMH18Q1
"5,825,000.000",EQUALS GROUP PLC COMMON STOCK GBP 1,"5,184,250.00",1.95%,BLS0XX2
"485,000.000",ERGOMED PLC COMMON STOCK GBP 1,"5,170,100.00",1.95%,BN7ZCY6
"400,000.000",ENERGEAN PLC,"4,948,000.00",1.86%,BG12Y04
"490,000.000",VISTRY GROUP PLC COMMON STOCK GBP 50,"3,834,250.00",1.44%,0185929
"210,000.000",MORGAN SINDALL GROUP PLC COMMON STOCK GBP 5,"3,553,200.00",1.34%,0808561
"1,260,000.000",MONEYSUPERMARKET.COM GROUP PLC COMMON STOCK GBP 0.02,"3,452,400.00",1.30%,B1ZBKY8
"1,125,000.000",MORGAN ADVANCED MATERIALS PLC COMMON STOCK GBP 25,"3,442,500.00",1.30%,0602729
"1,465,000.000",HUNTING PLC COMMON STOCK GBP 25,"3,428,100.00",1.29%,0447889
"722,740.000",H&T GROUP PLC COMMON STOCK GBP 5,"3,302,921.80",1.24%,B12RQD0
"1,340,000.000",HOLLYWOOD BOWL GROUP PLC COMMON STOCK GBP 1,"3,209,300.00",1.21%,BD0NVK6
"135,000.000",TBC BANK GROUP PLC COMMON STOCK GBP 1,"3,165,750.00",1.19%,BYT1830
"146,431.000",CVS GROUP PLC COMMON STOCK GBP 0.2,"3,104,337.20",1.17%,B286382
"430,000.000",BODYCOTE PLC COMMON STOCK GBP 17.273,"2,967,000.00",1.12%,B3FLWH9
"1,710,000.000",QUIXANT PLC COMMON STOCK GBP 0.1,"2,941,200.00",1.11%,B99PCP7
"610,000.000",TATTON ASSET MANAGEMENT PLC COMMON STOCK GBP 20,"2,812,100.00",1.06%,BYX1P35
"615,000.000",BLOOMSBURY PUBLISHING PLC COMMON STOCK GBP 1.25,"2,749,050.00",1.03%,3314775
"243,000.000",FUTURE PLC COMMON STOCK GBP 15,"2,738,610.00",1.03%,BYZN904
"195,000.000",HILL & SMITH PLC COMMON STOCK GBP 25,"2,683,200.00",1.01%,0427030
"2,380,000.000",LEARNING TECHNOLOGIES GROUP PLC COMMON STOCK GBP,"2,675,120.00",1.01%,B4T7HX1
"1,000,000.000",BIG TECHNOLOGIES PLC COMMON STOCK GBP,"2,660,000.00",1.00%,BN2TR93
"500,000.000",ELIXIRR INTERNATIONAL PLC COMMON STOCK GBP,"2,550,000.00",0.96%,BLPHTX8
"140,000.000",TELECOM PLUS PLC COMMON STOCK GBP 5,"2,528,400.00",0.95%,0879471
"80,000.000",CLARKSON PLC COMMON STOCK GBP 25,"2,480,000.00",0.93%,0201836
"1,065,000.000",VANQUIS BANKING GROUP PLC COMMON STOCK GBP 20.72727,"2,390,925.00",0.90%,B1Z4ST8
"1,375,000.000",TP ICAP GROUP PLC COMMON STOCK GBP 25,"2,338,875.00",0.88%,BMDZN39
"845,000.000",WILMINGTON PLC COMMON STOCK GBP 5,"2,298,400.00",0.87%,0969231
