Holding,Security Description,Market Value,% of Fund,Security No.
"570,000.000",ALPHA GROUP INTERNATIONAL PLC COMMON STOCK GBP,"11,856,000.00",4.57%,BF1TM59
"335,000.000",BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,"11,674,750.00",4.50%,BF4HYT8
"175,000.000",4IMPRINT GROUP PLC COMMON STOCK GBP 38.45999,"8,890,000.00",3.43%,0664097
"92,000.000",JUDGES SCIENTIFIC PLC COMMON STOCK GBP 5,"8,648,000.00",3.33%,3239867
"2,085,444.000",ASHTEAD TECHNOLOGY HOLDINGS PLC COMMON STOCK GBP,"8,362,630.44",3.22%,BLH4250
"660,000.000",CERILLION PLC COMMON STOCK GBP 0.5,"8,118,000.00",3.13%,BYYX6C6
"6,565,000.000",PREMIER FOODS PLC,"8,074,950.00",3.11%,B7N0K05
"2,710,000.000",SERICA ENERGY PLC COMMON STOCK GBP 0.1,"6,693,700.00",2.58%,B0CY5V5
"630,000.000",JET2 PLC COMMON STOCK GBP 1.25,"6,640,200.00",2.56%,B1722W1
"530,000.000",DUNELM GROUP PLC COMMON STOCK GBP 1,"6,158,600.00",2.37%,B1CKQ73
"1,800,000.000",OSB GROUP PLC COMMON STOCK GBP 1,"6,141,600.00",2.37%,BLDRH36
"1,255,000.000",BYTES TECHNOLOGY GROUP PLC COMMON STOCK GBP,"6,086,750.00",2.35%,BMH18Q1
"5,825,000.000",EQUALS GROUP PLC COMMON STOCK GBP 1,"5,650,250.00",2.18%,BLS0XX2
"1,780,000.000",WARPAINT LONDON PLC COMMON STOCK GBP 25,"5,073,000.00",1.95%,BYMF367
"1,050,000.000",REDROW PLC COMMON STOCK GBP 10,"4,989,600.00",1.92%,BG11K36
"218,000.000",OXFORD INSTRUMENTS PLC COMMON STOCK GBP 5,"4,817,800.00",1.86%,0665045
"210,000.000",MORGAN SINDALL GROUP PLC COMMON STOCK GBP 5,"4,141,200.00",1.60%,0808561
"145,000.000",TBC BANK GROUP PLC COMMON STOCK GBP 1,"4,118,000.00",1.59%,BYT1830
"3,875,000.000",CARD FACTORY PLC COMMON STOCK GBP,"3,968,000.00",1.53%,BLY2F70
"1,680,000.000",MITCHELLS & BUTLERS PLC COMMON STOCK GBP 8.54167,"3,706,080.00",1.43%,B1FP6H5
"545,000.000",BODYCOTE PLC COMMON STOCK GBP 17.273,"3,594,275.00",1.38%,B3FLWH9
"1,465,000.000",HUNTING PLC COMMON STOCK GBP 25,"3,589,250.00",1.38%,0447889
"580,893.000",NEXT 15 GROUP PLC COMMON STOCK GBP 2.5,"3,584,109.81",1.38%,3002605
"455,000.000",VISTRY GROUP PLC COMMON STOCK GBP 50,"3,560,375.00",1.37%,0185929
"605,000.000",WATCHES OF SWITZERLAND GROUP PLC COMMON STOCK GBP 0.0125,"3,521,100.00",1.36%,BJDQQ87
"195,000.000",HILL & SMITH PLC COMMON STOCK GBP 25,"3,490,500.00",1.34%,0427030
"3,410,000.000",MITIE GROUP PLC COMMON STOCK GBP 2.5,"3,314,520.00",1.28%,0465740
"1,715,000.000",XPS PENSIONS GROUP PLC COMMON STOCK GBP 0.05,"3,198,475.00",1.23%,BDDN1T2
"1,340,000.000",HOLLYWOOD BOWL GROUP PLC COMMON STOCK GBP 1,"3,169,100.00",1.22%,BD0NVK6
"1,260,000.000",MONEYSUPERMARKET.COM GROUP PLC COMMON STOCK GBP 0.02,"3,129,840.00",1.21%,B1ZBKY8
"740,000.000",BLOOMSBURY PUBLISHING PLC COMMON STOCK GBP 1.25,"3,056,200.00",1.18%,3314775
"610,000.000",TATTON ASSET MANAGEMENT PLC COMMON STOCK GBP 20,"2,995,100.00",1.15%,BYX1P35
"390,000.000",KELLER GROUP PLC COMMON STOCK GBP 10,"2,991,300.00",1.15%,0486622
"140,000.000",CVS GROUP PLC COMMON STOCK GBP 0.2,"2,965,200.00",1.14%,B286382
"1,125,000.000",MORGAN ADVANCED MATERIALS PLC COMMON STOCK GBP 25,"2,958,750.00",1.14%,0602729
"255,000.000",ENERGEAN PLC,"2,901,900.00",1.12%,BG12Y04
"4,065,000.000",NIOX GROUP PLC COMMON STOCK GBP 0.08,"2,788,590.00",1.07%,BJVD3B2
"555,000.000",ELIXIRR INTERNATIONAL PLC COMMON STOCK GBP,"2,775,000.00",1.07%,BLPHTX8
"1,015,000.000",BANK OF CYPRUS HOLDINGS PLC COMMON STOCK GBP 0.1,"2,588,250.00",1.00%,BD5B1Y9
"1,060,000.000",TRAINLINE PLC COMMON STOCK GBP 1,"2,463,440.00",0.95%,BKDTK92
"1,000,000.000",BIG TECHNOLOGIES PLC COMMON STOCK GBP 0.01,"2,440,000.00",0.94%,BN2TR93
"792,863.000",WILMINGTON PLC COMMON STOCK GBP 5,"2,426,160.78",0.93%,0969231
"230,000.000",ERGOMED PLC COMMON STOCK GBP 1,"2,401,200.00",0.93%,BN7ZCY6
"450,000.000",POLAR CAPITAL HOLDINGS PLC COMMON STOCK GBP 2.5,"2,180,250.00",0.84%,B1GCLT2
"80,000.000",CLARKSON PLC COMMON STOCK GBP 25,"2,164,000.00",0.83%,0201836
"638,637.000",VOLEX PLC COMMON STOCK GBP 25,"2,072,377.07",0.80%,0939007
"300,000.000",ACCESSO TECHNOLOGY GROUP PLC COMMON STOCK GBP 1,"2,070,000.00",0.80%,0177142
"1,675,221.000",NEXTEQ PLC COMMON STOCK GBP 0.1,"2,060,521.83",0.79%,B99PCP7
"19,000.000",GAMES WORKSHOP GROUP PLC COMMON STOCK GBP 5,"2,053,900.00",0.79%,0371847
